"species_code","subcategory"
"80915","None"
"81060","None"
"81061","None"
"81062","None"
"81063","None"
"81064","None"
"81065","None"
"81066","None"
"81067","None"
"81080","None"
"81090","None"
"81092","None"
"81095","None"
"81100","None"
"81120","None"
"81125","None"
"81130","None"
"81135","None"
"81295","None"
"81310","None"
"81311","None"
"81312","None"
"81313","None"
"81314","None"
"81315","None"
"81316","None"
"81320","None"
"81321","None"
"81340","None"
"81345","None"
"81350","None"
"81355","None"
"81356","None"
"81360","None"
"81361","None"
"81370","None"
"81741","None"
"81742","None"
"81743","None"
"81779","None"
"81780","None"
"81820","None"
"81830","None"
"81831","None"
"81835","None"
"81840","None"
"81850","None"
"81860","None"
"81870","None"
"81875","None"
"81880","None"
"81890","None"
"81910","None"
"81912","None"
"81919","None"
"81920","None"
"81921","None"
"81930","None"
"82000","None"
"82001","None"
"82002","None"
"82030","None"
"82035","None"
"82060","None"
"82090","None"
"82091","None"
"82100","None"
"82500","None"
"82510","None"
"82511","None"
"82515","None"
"82520","None"
"82522","None"
"82525","None"
"82526","None"
"82530","None"
"82535","None"
"82650","None"
"82660","None"
"82670","None"
"82672","None"
"82673","None"
"82675","None"
"82680","None"
"82685","None"
"82730","None"
"82740","None"
"82750","None"
"82755","None"
"82757","None"
"82760","None"
"82761","None"
"82770","None"
"82771","None"
"83000","None"
"83020","None"
"83021","None"
"83022","None"
"83055","None"
"83060","None"
"83070","None"
"83075","None"
"83080","None"
"83090","None"
"83310","None"
"83319","None"
"83320","None"
"83336","None"
"83339","None"
"83340","None"
"83342","None"
"83343","None"
"83348","None"
"83360","None"
"83390","None"
"83400","None"
"83402","None"
"83405","None"
"83406","None"
"83407","None"
"83411","None"
"83480","None"
"83660","None"
"83700","None"
"85000","None"
"85010","None"
"85013","None"
"85015","None"
"85016","None"
"85020","None"
"85060","None"
"85070","None"
"85085","None"
"85110","None"
"85115","None"
"85120","None"
"85140","None"
"85167","None"
"85169","None"
"85170","None"
"85175","None"
"85180","None"
"85200","None"
"85201","None"
"85202","None"
"85205","None"
"85209","None"
"85210","None"
"85219","None"
"85220","None"
"85221","None"
"85222","None"
"85269","None"
"85270","None"
"85290","None"
"85410","None"
"90000","None"
"91000","None"
"91002","None"
"91005","None"
"91010","None"
"91014","None"
"91015","None"
"91016","None"
"91020","None"
"91030","None"
"91031","None"
"91039","None"
"91040","None"
"91045","None"
"91049","None"
"91050","None"
"91051","None"
"91052","None"
"91053","None"
"91054","None"
"91055","None"
"91056","None"
"91057","None"
"91059","None"
"91060","None"
"91061","None"
"91064","None"
"91065","None"
"91066","None"
"91067","None"
"91068","None"
"91069","None"
"91070","None"
"91071","None"
"91072","None"
"91076","None"
"91077","None"
"91078","None"
"91079","None"
"91080","None"
"91083","None"
"91084","None"
"91086","None"
"91087","None"
"91088","None"
"91090","None"
"91092","None"
"91096","None"
"91100","None"
"91700","None"
"92000","None"
"92021","None"
"92400","None"
"92500","None"
"92900","None"
"93100","None"
"93150","None"
"93500","None"
"94000","None"
"94500","None"
"94900","None"
"95000","None"
"95005","None"
"95010","None"
"95011","None"
"95015","None"
"95016","None"
"95020","None"
"95030","None"
"95035","None"
"95036","None"
